id,vol_name,no,date,time,ch,station,title
1,BD-RE-00144-001,"00001","2020/04/22 17:55:00","00:30:07","71","テレビ東京１","あひるの空 第28話「誓い」[字]"
2,BD-RE-00144-001,"00002","2020/04/29 17:55:00","00:30:07","71","テレビ東京１","あひるの空 第29話「キズナ」[字]"
3,BD-RE-00144-001,"00003","2020/05/06 17:55:00","00:30:07","71","テレビ東京１","あひるの空 第30話「存在意義」[字]"
4,BD-RE-00144-001,"00004","2020/05/13 17:55:00","00:30:07","71","テレビ東京１","あひるの空 第31話「守るべきもの」[字]"
5,BD-RE-00144-001,"00005","2020/04/21 02:30:00","00:55:08","81","フジテレビ","きみはペット＜Ｍナイト＞　＃１２[再]"
6,BD-RE-00144-001,"00006","2020/04/28 02:15:00","00:55:09","81","フジテレビ","きみはペット＜Ｍナイト＞　＃１３[再]"
7,BD-RE-00144-001,"00007","2020/05/05 02:15:00","00:55:09","81","フジテレビ","きみはペット＜Ｍナイト＞　＃１４[再]"
8,BD-RE-00144-001,"00008","2020/05/12 02:15:00","00:55:09","81","フジテレビ","きみはペット＜Ｍナイト＞　＃１５[再]"
9,BD-RE-00144-001,"00009","2020/04/24 00:55:00","00:30:08","81","フジテレビ","つり球＜ノイタミナ＞　＃０１[再][字]"
10,BD-RE-00144-001,"00010","2020/05/01 00:55:00","00:30:07","81","フジテレビ","つり球＜ノイタミナ＞　＃０２[再][字]"
11,BD-RE-00144-001,"00011","2020/05/15 00:55:00","00:30:07","81","フジテレビ","つり球＜ノイタミナ＞　＃０４[再][字]"
12,BD-RE-00144-001,"00012","2020/04/26 09:00:00","00:29:46","71","テレビ東京１","ひみつ×戦士 ファントミラージュ！ 第５５話[字][デ]"
13,BD-RE-00144-001,"00013","2020/05/03 09:00:00","00:29:52","71","テレビ東京１","ひみつ×戦士 ファントミラージュ！ 第５６話[字][デ]"
14,BD-RE-00144-001,"00014","2020/05/10 09:00:00","00:29:46","71","テレビ東京１","ひみつ×戦士 ファントミラージュ！ 第５７話[字][デ]"
15,BD-RE-00144-001,"00015","2020/05/17 09:00:00","00:29:49","71","テレビ東京１","ひみつ×戦士 ファントミラージュ！ 第５８話[字][デ]"
16,BD-RE-00144-001,"00016","2020/04/16 21:00:00","00:53:46","51","テレビ朝日","まもなく新シリーズ！「ＢＧ～身辺警護人～傑作選」　＃１[字]"
17,BD-RE-00144-001,"00017","2020/04/23 21:00:00","00:53:46","51","テレビ朝日","まもなく新シリーズ！「ＢＧ～身辺警護人～傑作選」　＃２[字]"
18,BD-RE-00144-001,"00018","2020/04/30 21:00:00","00:54:09","51","テレビ朝日","まもなく新シリーズ！「ＢＧ～身辺警護人～傑作選」　＃３[字]"
