第2186回	2013年12月29日	長崎県	六角精児	「五島列島 海の果ての『奇蹟の島』」	見所	お得	アラカルト
第2185回	2013年12月22日	静岡県	渡辺 徹	「富士山で勝手に世界遺産」	見所	お得	アラカルト
第2184回	2013年12月8日	京都府	高島礼子	「高島礼子の京都スペシャル1　
京風 極上のクリスマス！」	見所	お得	アラカルト
第2183回	2013年12月2日	京都府	高島礼子	「高島礼子の京都スペシャル2　
錦を食べる 錦に遊ぶ」	見所	お得	アラカルト
第2182回	2013年11月24日	和歌山県	永島敏行	「清流・古座川 火振り漁とゆずの里」	見所	お得	アラカルト
第2181回	2013年11月17日	佐賀県	森末慎二	「干潟体験 ムツゴロウに挑戦！」	見所	お得	アラカルト
第2180回	2013年11月10日	沖縄県	室井 滋	「シーサーと長寿おばぁ」	見所	お得	アラカルト
第2179回	2013年11月3日	和歌山県	原田龍二	「高野山の里山に生きる」	見所	お得	アラカルト
第2178回	2013年10月27日	三重県	京野ことみ	「秋の伊勢 食の王国 歴史ロマン」	見所	お得	 
第2177回	2013年10月20日	北海道	原 日出子	「開拓者たちの楽園」	見所	お得	アラカルト
第2176回	2013年10月13日	岩手県	佐藤正宏	「笑顔の配達人三陸へ」	見所	お得	アラカルト
第2175回	2013年10月6日	三重県	渡辺 正行	「炙(あぶ)って食べて 人情港町」	見所	お得	 
第2174回	2013年9月27日	兵庫県	竹内海南江	「謎の巨大遺跡と世界遺産」	 見所	お得	
第2173回	2013年9月22日	秋田県	田山涼成	「秋田 大地の息吹 なまはげの里」	 見所	 お得	 
第2172回	2013年9月15日	鹿児島県	下條アトム	「奄美の 美人唄者(うたしゃ)に出会ったぁ」	 見所	 お得	 
第2171回	2013年9月8日	東京都	緒形直人	「いってらっしゃい 小笠原！
世界遺産の島に住む」	 見所	 お得	 
第2170回	2013年9月1日	秋田県	加藤紀子	「秋田名物 母（か）っちゃの味」	 見所	 お得	 
第2169回	2013年8月18日	大分県	相島一之	「豊後の城下町　夏風情と海の幸」	 見所	 お得	 
第2168回	2013年8月11日	京都府	永 六輔	「笑う京都に！福来たる 2」	 見所	 お得	 
第2167回	2013年8月4日	大分県	八代亜紀	「国東半島 私の昭和ブルース」	 見所	 お得	 
第2166回	2013年7月28日	山梨県	えなりかずき	「えなり君 in 山梨 絶品の味と技」	 見所	 お得	 
第2165回	2013年7月21日	京都府	永 六輔	「笑う京都に！ 福来たる」	 見所	 お得	 
第2164回	2013年7月14日	青森県	夢枕 獏	「下北半島は小説よりも奇なり」	 見所	 お得	 
第2163回	2013年7月7日	山梨県	田中要次	「オレ流！富士山攻略術！」	 見所	 お得	 
第2162回	2013年6月30日	滋賀県	岡本信人	「琵琶湖 ハンティングワールド」	 見所	 お得	 
第2161回	2013年6月23日	広島県	蛭子能収	「江戸を残す港町 鞆の浦に遊ぶ」	 見所	 お得	 
第2160回	2013年6月16日	長野県	竹下景子	「竹下景子の ザ・上高地 
標高1500ｍの路」	 見所	 お得	 
第2159回	2013年6月9日	東京都	酒井 美紀	「奥多摩ミステリーツアー」	 見所	 お得	 
第2158回	2013年6月2日	広島県	近藤正臣	「安芸の小粋な江戸咄」	 見所	 お得	 
第2157回	2013年5月26日	高知県	ベンガル	「仁淀川 清流の恵み 天界の山里」	 見所	 お得	 
第2156回	2013年5月19日	奈良県	原田龍二	「奈良 天空に暮らす人々」	 見所	 お得	 
第2155回	2013年5月12日	石川県	ピーコ	「ピーコが行く 加賀百万石」	 見所	 お得	 
第2154回	2013年5月5日	愛媛県	原日出子	「五月のコイの城下町」	 見所	 お得	 
第2153回	2013年4月28日	宮崎県	小倉久寛	「南宮崎 海と山の春だより」	 見所	 お得	 
第2152回	2013年4月21日	山形県	渡辺正行	「春と遊ぼう山形路」	 見所	 お得	 
第2151回	2013年4月14日	宮崎県	有森 裕子	「日向の国の旬紀行 2013年・春」	 見所	 お得	 
第2150回	2013年4月7日	東京、京都	佐藤 正宏	「東海道本線 乗り継ぎ青春18きっぷ」	 見所	 お得	 
第2149回	2013年3月29日	沖縄県	篠原ともえ	「西表島で遊ぶ！創る！」	 見所	 お得	 
第2148回	2013年3月24日	宮城県	山口馬木也	「蔵王 樹氷と秘湯の隠れ里」	 見所	 お得	 
第2147回	2013年3月17日	北海道	武田修宏	「冬限定　オホーツクの町」	 見所	 お得	 
第2146回	2013年3月10日	京都府	加藤紀子	「丹後半島 舟屋の美味しい暮らし」	 見所	 お得	 
第2145回	2013年3月3日	宮城県	赤井 英和	「南三陸 俺たちの大好きな故郷」	 見所	 お得	 
第2144回	2013年2月24日	熊本県	田山涼成	「冬の阿蘇 心ほっこり旬の味」	 見所	 お得	 
第2143回	2013年2月17日	長野県	室井滋	「戸隠高原 冬の名物 そばの里」	 見所	 お得	 
第2142回	2013年2月10日	岡山県	原田龍二	「瀬戸内 歴史の港町お宝探し」	 見所	 お得	 
第2141回	2013年2月3日	熊本県	竹下景子	「肥後の国　小京都発秘境行き」	 見所	 お得	 
第2140回	2013年1月27日	鹿児島県	阿藤快	「これぞ薩摩のいっこもん」	 見所	 お得	 
第2139回	2013年1月20日	香川県	神保悟志	「讃岐名物おいしい漫遊記」	 見所	 お得	 
第2138回	2013年1月13日	山梨県	佐藤正宏	「温故知新！ワインの里のモノ作り」	 見所	 お得	 
第2137回	2013年1月6日	鹿児島県	原日出子	「美味しい！大自然が作る南九州の美味」	 見所	 お得	 

　　旅の情報　2012年放送分
一覧に戻る
第2136回	2012年12月23日	京都府	ダンカン	「京都 魔界の風景を歩く」	 	 
第2135回	2012年12月16日	長野県	イルカ	「北信濃の冬仕度 仏壇と温泉の里」	 	 
第2134回	2012年12月9日	東京都	夢枕獏	「絶海の孤島・日本一小さな村」	 	 
第2133回	2012年12月2日	京都府	濱田マリ	「私の京都 みぃつけた」	 	 
第2132回	2012年11月25日	和歌山県	古村比呂	「紀の川 ふる里の秋 原風景」	 	 
第2131回	2012年11月18日	青森県	酒井美紀	「紅葉！白神山地 大自然と遊ぶ」	 	 
第2130回	2012年11月11日	新潟県	鈴木桂治	「粟島 元気なばあちゃんの島」	 	 
第2129回	2012年11月4日	和歌山県	渡辺正行	「南紀湯けむりマグロの町」	 	 
第2128回	2012年10月28日	愛媛県	大浦龍宇一、主之和	「瀬戸内 父子 島暮らしの記」	 	 
第2127回	2012年10月21日	三重県	ノッチ（デンジャラス）	「ノッチが行く伊勢路美味道中」	 	 
第2126回	2012年10月14日	栃木県	伊嵜充則	「日光 初めての大人の修学旅行」	 	 
第2125回	2012年10月7日	三重県	佐藤正宏	「伊賀上野 ほのぼの商店街」	 	 
第2124回	2012年9月30日	兵庫県	渡辺大	「淡路 伝説の島 僕の風土記」	 	 
第2123回	2012年9月23日	鳥取県	山口馬木也	「技の匠に魅せられて」	 	 
第2122回	2012年9月16日	静岡県	武田修宏	「浜松の伝統 ふるさと再発見」	 	 
第2121回	2012年9月9日	富山県	田中要次	「めざせ！北アルプス 雄山3003ｍ」　	 	 
第2120回	2012年9月2日	島根県	谷村新司	「僕の湖 宍道湖！ 一周47キロの旅」	 	 
第2119回	2012年8月19日	愛媛県	長谷川初範	「夏本番！ 牛鬼祭りに酔う」	 	 
第2118回	2012年8月12日	長野県	原 日出子	「夏の信州　天下の奇祭と馬の里」	 	 
第2117回	2012年8月5日	高知県	角田光代	「絵金を追って　土佐の夏」	 	 
第2116回	2012年7月29日	熊本県	渡辺正行	「宝の島　天草へ　ボクの夏休み」	 	 
第2115回	2012年7月22日	群馬県	西村和彦	「水郷の里　ブラジル旅気分」	 	 
第2114回	2012年7月15日	沖縄県	有森裕子	「チャンプルー沖縄」	 	 
第2113回	2012年7月8日	和歌山県	原田龍二	「南紀豊穣の国 吾らが故郷」	 	 
第2112回	2012年7月1日	群馬県	八代亜紀	「ぐんま 秘湯の人巡り-群馬県みなかみ町～中之条町－」	 	 
第2111回	2012年6月24日	北海道	姜尚中	「姜尚中　風薫る北海道旅」	 	 
第2110回	2012年6月17日	愛知県	佐藤正宏	「東三河 笑顔の玉手箱」	 	 
第2109回	2012年6月10日	福島県	丹波義隆	「村の宝物 檜枝岐歌舞伎と尾瀬」	 	 
第2108回	2012年6月3日	北海道	原日出子	「家族が育てる北の大地の恵み」	 	 
第2107回	2012年5月27日	山口県	阿藤快	「ノスタルジック港町　人情横丁」	 	 
第2106回	2012年5月20日	鹿児島県	的場浩司	「島立ちの故郷 甑島」	 	 
第2105回	2012年5月13日	奈良県	宮元亜門	「『古事記』片手に大和路幻想」	 	 
第2104回	2012年5月6日	山口県	仁科亜季子	「城下町 港町 萩焼の町」	 	 
第2103回	2012年4月29日	高知県	夢枕獏	「仁淀川　日本の原風景見た」	 	 
第2102回	2012年4月22日	鳥取県	マギー審司	「山陰因幡　山海の珍味丸かじり」	 	 
第2101回	2012年4月15日	広島県	Ｃｈａｇｅ	「春遊び瀬戸内の島色探し」	 	 
第2100回	2012年4月8日	北海道	徳光和夫	「僕のご先祖様は北海道の屯田兵」	 	 
第2099回	2012年4月1日	鳥取県	武田修宏	「鳥取 人も自然も大山の恵み」	 	 
第2098回	2012年3月25日	岩手県	山口馬木也	「世界遺産の里・平泉の輝き」	 	 
第2097回	2012年3月18日	福岡県	サヘル・ローズ	「雛祭の柳川有明海の旬」	 	 
第2096回	2012年3月11日	群馬県	照英	「伊香保 湯の町 石段の町」	 	 
第2095回	2012年3月4日	岩手県	濱田マリ	「岩手の冬　女たちの底力」	 	 
第2094回	2012年2月26日	山口県	セイン カミュ	「瀬戸の島旅 天然ふぐとみかん鍋」	 	 
第2093回	2012年2月19日	福井県	田中要次	「越前の職人 男の道」	 	 
第2092回	2012年2月12日	北海道	住吉美紀	「冬の道東 わが人生」	 	 
第2091回	2012年2月5日	山口県	有森裕子	「足の向くまま 長州路」	 	 
第2090回	2012年1月29日	静岡県	金山一彦	「伊豆半島料理の極意 伝統の味」	 	 
第2089回	2012年1月22日	青森県	西村和彦	「目指せ龍飛 じょっぱりの里を行く」	 	 
第2088回	2012年1月15日	沖縄県	的場浩司	「沖縄 スイーツ番長探険記」	 	 
第2087回	2012年1月8日	宮城県	原田龍二	「伊達藩を歩く　気分は江戸時代」	 	 

↑上へ戻る

　　旅の情報　2011年放送分
一覧に戻る
第2086回	2011年12月25日	京都府	姜尚中	「姜尚中 蕪村と歩く 京の休日」	 	 
第2085回	2011年12月18日	青森県	森野熊八	「再会！ 八戸まんぷく食堂」	 	 
第2084回	2011年12月11日	長崎県	ＫＩＫＩ	「島原半島 大地の恵み ヒミツの力」	 	 
第2083回	2011年12月4日	京都府	サヘル・ローズ	「千年の都 京色探し」	 	 
第2082回	2011年11月27日	島根県	阿藤快	「神秘が宿る　とって隠岐の島」	 	 
第2081回	2011年11月20日	愛媛県	伊嵜充則	「松山は『坊っちゃん』ぞなもし」	 	 
第2080回	2011年11月13日	新潟県	杉山愛	「秋の越後にスマッシュ」	 	 
第2079回	2011年11月6日	鳥取県	森末慎二	「鳥取 ひと駅ごとに紡ぐ夢」	 	 
第2078回	2011年10月30日	静岡県	有森裕子	「奥大井 笑顔のあなたに金メダル」	 	 
第2077回	2011年10月23日	滋賀県	宮本亜門	「宮本亜門の近江路 観音様と二人連れ」	 	 
第2076回	2011年10月16日	三重県	関口照生	「伊勢の味　ここに極まる松阪牛」	 	 
第2075回	2011年10月9日	岐阜県	田中要次	「飛騨路　謎と温泉　秘境の宿」	 	 
第2074回	2011年10月2日	三重県	サヘル・ローズ	「伊勢志摩　海女の海 家族の海」	 	 
第2073回	2011年9月25日	熊本県	山田まりや	「天草　豊饒の海　秘湯に遊ぶ」	 	 
第2072回	2011年9月18日	富山県	藤木勇人	「イケメン職人 明日への絆」	 	 
第2071回	2011年9月11日	石川県	Chage	「まわせ明日へ 能登の伝統」	 	 
第2070回	2011年9月4日	鹿児島県	赤井英和	「肥薩線 名物駅懐かしき味巡り」	 	 
第2069回	2011年8月28日	北海道	辻よしなり	「知床遥か　世界遺産に酔う」	 	 
第2068回	2011年8月14日	秋田県	サヘル・ローズ	「秋田・人情の郷 水の里」	 	 
第2067回	2011年8月7日	北海道	山本耕史	「利尻 夏休みのない男たち」	 	 
第2066回	2011年7月31日	熊本県	福岡伸一	「福岡先生の水俣風土記」	 	 
第2065回	2011年7月24日	栃木県	西村和彦	「奥日光　清流の恵みに遊ぶ」	 	 
第2064回	2011年7月17日	山形県	濱田マリ	「元気な笑顔 美味しい山形」	 	 
第2063回	2011年7月10日	山梨県	大地康雄	「伊良部　オヤジのいた島」	 	 
第2062回	2011年7月3日	栃木県	加藤紀子	「住みたい町」うわさの益子	 	 
第2061回	2011年6月26日	群馬県	石倉三郎	「上州路　かかあ天下と縁切寺」	 	 
第2060回	2011年6月19日	愛知県	田中要次	「南信州 秘境街道を往く」	 	 
第2059回	2011年6月12日	島根県	杉山愛	「女の出雲路　ひとり旅」	 	 
第2058回	2011年6月5日	群馬県	相田翔子	「上州路 早起きのご褒美」	 	 
第2057回	2011年5月29日	山口県	伊嵜充則	「凄～い職人！山陽路浪漫」	 	 
第2056回	2011年5月22日	愛媛県	中本賢	「伊予路遥か　ふるさと原風景に遊ぶ」	 	 
第2055回	2011年5月15日	鹿児島県	伊武雅刀	「ぶらぶら奄美　ぶらり旅」	 	 
第2054回	2011年5月8日	青森県	古村比呂	「津軽路　歴史ロマンの城下町」	 	 
第2053回	2011年5月1日	高知県	クミコ	「うた時計 土佐の青空」	 	 
第2052回	2011年4月24日	熊本県	セイン カミュ	「セイン カミュの旨味あり　新・熊本路」	 	 
第2051回	2011年4月17日	群馬県	山本太郎	「谷川岳山麓　健康グルメ旅」	 	 
第2050回	2011年4月10日	東京、京都	原田龍二	「瀬戸の春満喫 親子旅」	 	 
第2049回	2011年4月3日	熊本県	赤井英和	「列車で巡る阿蘇山麓」	 	 
第2048回	2011年3月13日	三重県	宮本亜門	「はじめてのお伊勢参り」	 	 
第2047回	2011年3月6日	青森県	相田翔子	「厳寒の冬　めげない下北」	 	 
第2046回	2011年2月27日	青森県	山口馬木也	「冬の津軽　じょっぱりの味と技」	 	 
第2045回	2011年2月20日	静岡県	田中美里	「南伊豆　坂道・海道・花の道」	 	 
第2044回	2011年2月13日	東京都	下條アトム	「東京新名所　下町巡り」	 	 
第2043回	2011年2月6日	富山県	平野文	「ブリ踊り　桜咲く　富山の冬」	 	 
第2042回	2011年1月30日	福井県	阿藤快	「若狭路　旬の日本海　究極の隠し味」	 	 
第2041回	2011年1月23日	新潟県	小谷実可子	「町自慢　笑顔の柏崎」	 	 
第2040回	2011年1月16日	滋賀県	宮崎美子	「歩く探す琵琶湖の名品」	 	 
第2039回	2011年1月9日	石川県	丹波義隆	「金沢 からくり見聞録」	 	 

↑上へ戻る


　　旅の情報　2010年放送分
一覧に戻る
第2038回	2010年12月26日	京都府	黒田福美	「京の隠れ里　紅葉の嵯峨野を歩く」	 	 
第2037回	2010年12月19日	熊本県	藤木勇人	｢熊本・山里の暮らし元気村」	 	 
第2036回	2010年12月12日	岩手県	角田光代	「百年後の遠野物語」	 	 
第2035回	2010年12月5日	京都府	田中美里	「京都人　暮らしの道具」	 	 
第2034回	2010年11月28日	大阪府	斎藤洋介	「大阪　粋の伝統・遊び心の技」	 	 
第2033回	2010年11月21日	山口県	岩本勉	「名物名産 こだわりの山陽路」	 	 
第2032回	2010年11月14日	秋田県	照英	「秋田八郎湖 自分探しの旅」	 	 
第2031回	2010年11月7日	大阪府	ジミー大西	「大阪万博公園　僕の原点へ」	 	 
第2030回	2010年10月31日	兵庫県	片桐仁	「『土』が作る　丹波の心意気」	 	 
第2029回	2010年10月24日	三重県	長谷川初範	「ボクの憧れ　忍者の里・伊賀を歩く」	 	 
第2028回	2010年10月17日	静岡県	石丸謙二郎	「浜松の合い言葉は『やらまいか』」	 	 
第2027回	2010年10月10日	三重県	丹波義隆	「紀伊半島　日本の原風景」	 	 
第2026回	2010年10月3日	岐阜県	仁科亜季子	「40周年記念 もしこの技が… 伝統を支える職人衆」	 	 
第2025回	2010年9月26日	長野県	田中実	「魅せられて信濃路　里の匠たち」	 	 
第2024回	2010年9月19日	新潟県	宮本隆治	「佐渡の空　トキは飛んだか」	 	 
第2023回	2010年9月12日	石川県	鷲尾真知子	「白峰村　それぞれの故郷」	 	 
