話数	放送日	サブタイトル	演出	視聴率
あんどーなつ 1	2008年7月7日	お菓子な出逢い	竹村謙太郎	11.6%
あんどーなつ 2	2008年7月14日	破門!? 最初の試練	10.5%
あんどーなつ 3	2008年7月21日	花火大会の夜、涙と奇跡の和菓子が生まれる…	酒井聖博	7.6%
あんどーなつ 4	2008年7月28日	土用丑の日ウナギ騒動!	堀英樹	9.1%
あんどーなつ 5	2008年8月4日	出たあ! 浅草幽霊大騒ぎ	竹村謙太郎	9.0%
あんどーなつ 6	2008年8月11日	実家を乗っ取られた兄!	酒井聖博	8.9%
あんどーなつ 7	2008年8月18日	浅草芸者の心意気	堀英樹	9.3%
あんどーなつ 8	2008年8月25日	しょっぱい帰郷	竹村謙太郎	10.6%
あんどーなつ 9	2008年9月1日	女将さんがお見合いっ!?	酒井聖博	9.2%
あんどーなつ 10	2008年9月8日	父と息子…涙のオムレツ	堀英樹	9.6%
あんどーなつ 11	2008年9月15日	京都から来た男	竹村謙太郎	7.1%
あんどーなつ 12	2008年9月22日	暖簾をかけた決勝戦	8.1%
