世界遺産 id,name,date,title
世界遺産 2008.12.28　エローラ石窟群
世界遺産 2008.12.21　ベルギーとフランスの鐘楼群
世界遺産 2008.12.14　ポンペイ、エルコーラノ及びトッレ・アヌンツィアータの遺跡地域
世界遺産 2008.12.07　ラパ・ヌイ国立公園（イースター島）
世界遺産 2008.11.30　黄山
世界遺産 2008.11.23　シュリー・シュル・ロワールからシャロンヌ間のロワール渓谷
世界遺産 2008.11.16　インドの山岳鉄道群（ダージリン・ヒマラヤ鉄道）
世界遺産 2008.11.09　自由の女神像
世界遺産 2008.11.02　ケルン大聖堂
世界遺産 2008.10.26　イエローストーン国立公園
世界遺産 2008.10.19　麗江旧市街
世界遺産 2008.10.12　ゼメリング鉄道
世界遺産 2008.10.05　カナディアン・ロッキー山脈自然公園群
世界遺産 2008.09.28　フェルクリンゲン製鉄所
世界遺産 2008.09.21　アルバータ州立恐竜自然公園
世界遺産 2008.09.14　中国南部カルスト
世界遺産 2008.09.07　セゴビア旧市街と水道橋
世界遺産 2008.08.31　グレート・バリア・リーフ
世界遺産 2008.08.24　五大陸スペシャルII～空から見る文化遺産～
世界遺産 2008.08.17　五大陸スペシャルI～空から見る自然遺産～
世界遺産 2008.08.10　万里の長城
世界遺産 2008.08.03　オリンピアの古代遺跡
世界遺産 2008.07.27　マヌー国立公園
世界遺産 2008.07.20　ヴィエリチカ岩塩坑
世界遺産 2008.07.13　セビリア大聖堂、アルカサル、インディアス古文書館
世界遺産 2008.07.06　ティカル国立公園
世界遺産 2008.06.29　プリトヴィツェ湖群国立公園
世界遺産 2008.06.22　ナスカの地上絵
世界遺産 2008.06.15　アマルフィ海岸
世界遺産 2008.06.08　ハワイ火山国立公園
世界遺産 2008.06.01　ギョレメ国立公園およびカッパドキアの岩石遺跡群
世界遺産 2008.05.25　キンデルダイクの風車群
世界遺産 2008.05.18　フィレンツェ歴史地区
世界遺産 2008.05.11　アブシンベルからフィラエまでのヌビア遺跡群
世界遺産 2008.05.04　クィーンズランドの湿潤熱帯地域
